ad_id,created_date,market,language,ad_format,industry_vertical,advertiser_tier,campaign_objective,policy_category,risk_level,ad_text,landing_page_claim,golden_label,human_label,llm_label,llm_confidence_score,human_confidence_score,review_time_seconds,appeal_submitted,appeal_result,bpo_team,reviewer_tenure,error_type,is_llm_correct,is_human_correct,is_human_ai_agreement,is_advertiser_over_rejection,is_policy_risk_miss,is_low_confidence_case,is_high_risk_approval_miss,recommended_action
AD00001,2024-05-24,BR,Portuguese,Display Ad,Beauty,enterprise,Sales,Landing Page Issue,low,Best deal online — click here to learn more,Clinically inspired formula,approved,approved,approved,0.981,0.94,38,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00002,2024-10-16,DE,German,Social Feed Ad,Food and Beverage,small_business,App Installs,Safe Ad,low,Summer sale now on — limited time only,Rates may vary by eligibility,approved,approved,approved,0.986,0.976,36,False,not_submitted,BPO_E,new,none,True,True,True,False,False,False,False,no_action_required
AD00003,2024-08-07,BR,Portuguese,Shopping Ad,Finance,small_business,Brand Awareness,Misleading Claim,low,Scientifically proven to work in just one week,Results depend on individual use,approved_limited,approved_limited,approved_limited,0.942,0.953,67,False,not_submitted,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00004,2024-12-08,IT,Italian,Search Ad,Food and Beverage,enterprise,Retargeting,Health Claim,low,Plant-based ingredients for a balanced lifestyle,No purchase required,escalated,escalated,escalated,0.99,0.965,59,False,not_submitted,BPO_E,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00005,2024-02-24,FR,French,Search Ad,Travel,mid_market,Traffic,Scam or Suspicious Offer,medium,Enter your details to unlock your mystery reward,Terms and conditions apply,rejected,approved,rejected,0.887,0.464,161,False,not_submitted,BPO_C,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration
AD00006,2024-11-14,MX,Spanish,Video Ad,Finance,small_business,Traffic,Political or Sensitive Content,high,Support awareness for human rights education,Limited availability,approved_limited,approved_limited,approved,0.393,0.886,161,False,not_submitted,BPO_E,experienced,high_risk_approval_miss,False,True,False,False,True,True,True,escalate_to_human_review
AD00007,2024-07-25,BR,Portuguese,Shopping Ad,Gaming,enterprise,Retargeting,Brand Safety Risk,low,Aggregated reviews for popular consumer brands,Customer testimonials shown,rejected,rejected,rejected,0.912,0.847,62,False,not_submitted,BPO_B,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00008,2024-10-07,BR,Portuguese,Social Feed Ad,Beauty,mid_market,App Installs,Scam or Suspicious Offer,medium,Free product trial — no card required — act fast,Subscription renews monthly,escalated,escalated,escalated,0.947,0.983,153,False,not_submitted,BPO_C,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00009,2024-10-09,UK,English,Social Feed Ad,Food and Beverage,enterprise,Brand Awareness,Safe Ad,medium,Download our app and track your order in real time,Check local rules before applying,approved,approved,approved,0.891,0.83,57,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00010,2024-07-30,DE,German,Video Ad,E-commerce,mid_market,Lead Generation,Misleading Claim,medium,Stop wasting money — our solution pays for itself,Product information updated regularly,rejected,rejected,escalated,0.534,0.976,175,False,not_submitted,BPO_C,new,market_nuance_error,False,True,False,False,True,True,False,route_to_human_review
AD00011,2024-06-14,US,English,Display Ad,E-commerce,small_business,Sales,Adult or Suggestive Content,high,Meet new people near you — dating app for adults,Individual results may vary,approved_limited,approved_limited,approved_limited,0.902,0.914,147,False,not_submitted,BPO_B,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00012,2024-10-22,MX,Spanish,Social Feed Ad,Health and Wellness,small_business,Brand Awareness,Safe Ad,low,New meal delivery plan for busy professionals,Offer valid while stocks last,approved,approved,approved,0.947,0.927,30,False,not_submitted,BPO_C,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00013,2024-07-03,ES,Spanish,Display Ad,E-commerce,small_business,Conversions,Political or Sensitive Content,high,Civic engagement platform — your voice matters,Age verification required,approved,approved,approved,0.962,0.905,159,False,not_submitted,BPO_E,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00014,2024-12-21,BR,Portuguese,Social Feed Ad,E-commerce,enterprise,Brand Awareness,Scam or Suspicious Offer,high,Limited slots available — register before midnight,Subject to regulatory approval,rejected,rejected,rejected,0.858,0.926,110,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00015,2024-08-31,DE,German,Search Ad,Finance,mid_market,Traffic,Misleading Claim,low,Outperforms every competitor in independent tests,Free trial followed by monthly subscription,approved,approved,approved,0.911,0.963,58,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00016,2024-08-20,UK,English,Display Ad,Retail,enterprise,Conversions,Health Claim,low,Gentle formula to support digestive comfort,Pricing subject to change,approved,approved,approved,0.923,0.944,84,False,not_submitted,BPO_E,new,none,True,True,True,False,False,False,False,no_action_required
AD00017,2024-07-31,ES,Spanish,Video Ad,Finance,mid_market,Conversions,Adult or Suggestive Content,low,Mature content platform — verified adult access,Not available in all regions,approved_limited,approved_limited,approved_limited,0.901,0.872,44,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00018,2024-03-29,FR,French,Video Ad,Health and Wellness,small_business,Sales,Political or Sensitive Content,high,Advocacy campaign for environmental protection,Professional advice recommended,approved,approved,approved,0.891,0.918,208,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00019,2024-09-30,BR,Portuguese,Social Feed Ad,Travel,small_business,Sales,Landing Page Issue,high,Offer subject to eligibility — check website,Standard delivery times apply,approved,approved,approved,0.915,0.948,128,False,not_submitted,BPO_C,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00020,2024-03-31,ES,Spanish,Video Ad,E-commerce,small_business,Traffic,Brand Safety Risk,medium,Consumer comparison tool for popular categories,Promotional pricing for new customers only,approved_limited,approved_limited,approved_limited,0.948,0.832,57,False,not_submitted,BPO_D,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00021,2024-08-12,BR,Portuguese,App Install Ad,Gaming,mid_market,Retargeting,Safe Ad,low,Try our award-winning customer service,Clinically inspired formula,approved,rejected,escalated,0.251,0.536,21,True,upheld,BPO_B,intermediate,over_rejection,False,False,False,True,False,True,False,route_to_human_review
AD00022,2024-10-17,US,English,Shopping Ad,Food and Beverage,mid_market,Sales,Safe Ad,low,"Join over 500,000 happy customers worldwide",Rates may vary by eligibility,approved,approved,approved,0.885,0.893,47,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00023,2024-06-13,MX,Spanish,Shopping Ad,Beauty,strategic_account,App Installs,Health Claim,high,Support your energy levels with our daily capsules,Results depend on individual use,approved_limited,approved_limited,approved,0.903,0.961,241,False,not_submitted,BPO_B,new,high_risk_approval_miss,False,True,False,False,True,False,True,escalate_to_human_review
AD00024,2024-12-27,MX,Spanish,Social Feed Ad,Travel,small_business,Conversions,Misleading Claim,medium,Double your savings with our exclusive method,No purchase required,rejected,escalated,rejected,0.848,0.503,112,False,not_submitted,BPO_A,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration
AD00025,2024-02-29,BR,Portuguese,Social Feed Ad,Beauty,mid_market,Lead Generation,Safe Ad,low,Explore thousands of products at unbeatable prices,Terms and conditions apply,approved,approved,escalated,0.422,0.911,30,False,not_submitted,BPO_C,experienced,over_rejection,False,True,False,True,False,True,False,route_to_human_review
AD00026,2024-03-17,UK,English,Social Feed Ad,Beauty,small_business,Brand Awareness,Restricted Product,high,Regulated gambling platform — play responsibly,Limited availability,approved_limited,approved_limited,approved_limited,0.945,0.928,235,True,upheld,BPO_E,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00027,2024-04-20,DE,German,Video Ad,Beauty,enterprise,Brand Awareness,Restricted Product,high,Sports betting — new member welcome offer,Customer testimonials shown,approved_limited,approved_limited,approved,0.506,0.896,249,False,not_submitted,BPO_D,intermediate,high_risk_approval_miss,False,True,False,False,True,True,True,escalate_to_human_review
AD00028,2024-12-20,FR,French,Display Ad,Health and Wellness,small_business,Lead Generation,Financial Product Claim,low,No-fee investment accounts for new members,Subscription renews monthly,approved_limited,rejected,approved_limited,0.868,0.616,51,False,not_submitted,BPO_A,experienced,none,True,False,False,False,False,False,False,flag_for_calibration
AD00029,2024-07-13,UK,English,Social Feed Ad,E-commerce,mid_market,Traffic,Landing Page Issue,medium,Offer subject to eligibility — check website,Check local rules before applying,approved,approved,escalated,0.503,0.968,169,False,not_submitted,BPO_C,new,over_rejection,False,True,False,True,False,True,False,route_to_human_review
AD00030,2024-04-07,IT,Italian,Search Ad,Retail,small_business,Brand Awareness,Restricted Product,low,Adult entertainment content — 18 years and over,Product information updated regularly,rejected,rejected,approved,0.361,0.977,54,True,upheld,BPO_A,experienced,market_nuance_error,False,True,False,False,True,True,False,route_to_human_review
AD00031,2024-12-18,IT,Italian,Search Ad,Retail,small_business,Brand Awareness,Financial Product Claim,medium,Compare flexible loan options in minutes,Individual results may vary,rejected,rejected,rejected,0.926,0.92,143,False,not_submitted,BPO_A,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00032,2024-05-30,MX,Spanish,Shopping Ad,Health and Wellness,mid_market,Conversions,Scam or Suspicious Offer,high,You have been selected for an exclusive prize,Offer valid while stocks last,rejected,approved_limited,approved_limited,0.805,0.578,189,True,upheld,BPO_D,new,market_nuance_error,False,False,True,False,True,False,False,add_to_model_feedback
AD00033,2024-04-07,US,English,Search Ad,Retail,small_business,Brand Awareness,Landing Page Issue,medium,Limited time pricing — available on our site only,Age verification required,approved_limited,escalated,approved_limited,0.91,0.49,57,False,not_submitted,BPO_B,experienced,none,True,False,False,False,False,False,False,flag_for_calibration
AD00034,2024-11-27,US,English,Video Ad,Education,mid_market,App Installs,Health Claim,medium,Plant-based ingredients for a balanced lifestyle,Subject to regulatory approval,approved_limited,approved_limited,approved_limited,0.787,0.932,266,False,not_submitted,BPO_D,new,none,True,True,True,False,False,False,False,no_action_required
AD00035,2024-02-26,DE,German,Social Feed Ad,Travel,small_business,App Installs,Landing Page Issue,medium,Click to reveal your personalized offer,Free trial followed by monthly subscription,rejected,rejected,rejected,0.941,0.9,97,True,reversed,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00036,2024-12-17,UK,English,Search Ad,Food and Beverage,strategic_account,Traffic,Adult or Suggestive Content,low,Dating service for singles — create your profile,Pricing subject to change,escalated,escalated,escalated,0.909,0.99,33,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00037,2024-01-17,UK,English,Shopping Ad,Gaming,small_business,Lead Generation,Political or Sensitive Content,medium,Non-profit initiative for fair public services,Not available in all regions,escalated,escalated,escalated,0.958,0.853,80,False,not_submitted,BPO_D,new,none,True,True,True,False,False,False,False,no_action_required
AD00038,2024-07-25,DE,German,Search Ad,Finance,mid_market,Lead Generation,Restricted Product,high,Tobacco accessories shop — ID verification required,Professional advice recommended,rejected,rejected,rejected,0.833,0.92,213,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00039,2024-07-31,UK,English,Shopping Ad,Travel,enterprise,Sales,Financial Product Claim,medium,Refinance your loan and lower your monthly payment,Standard delivery times apply,approved_limited,approved_limited,approved,0.885,0.956,74,True,upheld,BPO_A,intermediate,claim_substantiation_issue,False,True,False,False,True,False,False,add_to_model_feedback
AD00040,2024-12-12,IT,Italian,Shopping Ad,Food and Beverage,mid_market,Sales,Restricted Product,medium,Adult entertainment content — 18 years and over,Promotional pricing for new customers only,approved_limited,approved,escalated,0.484,0.442,113,False,not_submitted,BPO_D,new,over_rejection,False,False,False,True,False,True,False,route_to_human_review
AD00041,2024-12-05,DE,German,Display Ad,Education,small_business,Retargeting,Safe Ad,low,This course helps beginners learn data analytics,Clinically inspired formula,approved,approved,approved,0.967,0.907,25,False,not_submitted,BPO_D,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00042,2024-11-03,BR,Portuguese,Search Ad,Health and Wellness,mid_market,App Installs,Financial Product Claim,low,Low-interest personal finance solutions available now,Rates may vary by eligibility,approved_limited,approved_limited,approved,0.315,0.854,40,False,not_submitted,BPO_E,intermediate,claim_substantiation_issue,False,True,False,False,True,True,False,route_to_human_review
AD00043,2024-11-30,IT,Italian,Display Ad,Retail,small_business,Lead Generation,Safe Ad,low,Premium beauty bundle with customer reviews,Results depend on individual use,approved_limited,approved,approved_limited,0.968,0.4,24,False,not_submitted,BPO_C,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration
AD00044,2024-11-12,US,English,Video Ad,Finance,mid_market,App Installs,Financial Product Claim,low,Find the best savings rate for your goals,No purchase required,approved_limited,approved_limited,approved_limited,0.892,0.976,52,True,upheld,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00045,2024-07-06,BR,Portuguese,Display Ad,Mobile Apps,mid_market,Sales,Political or Sensitive Content,high,Community forum for policy discussions,Terms and conditions apply,approved_limited,escalated,approved,0.891,0.44,314,True,reversed,BPO_D,new,high_risk_approval_miss,False,False,False,False,True,False,True,escalate_to_human_review
AD00046,2024-11-12,BR,Portuguese,App Install Ad,E-commerce,enterprise,Brand Awareness,Brand Safety Risk,medium,Budget alternatives for expensive branded goods,Limited availability,approved_limited,approved_limited,approved_limited,0.956,0.89,148,False,not_submitted,BPO_D,experienced,none,True,True,True,False,False,False,False,no_action_required
AD00047,2024-10-08,US,English,Display Ad,Beauty,enterprise,Brand Awareness,Safe Ad,low,Summer sale now on — limited time only,Customer testimonials shown,approved,approved,approved,0.944,0.959,36,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00048,2024-05-20,US,English,Shopping Ad,Retail,small_business,App Installs,Financial Product Claim,medium,No-fee investment accounts for new members,Subscription renews monthly,approved_limited,approved_limited,approved,0.922,0.845,177,True,reversed,BPO_B,new,claim_substantiation_issue,False,True,False,False,True,False,False,add_to_model_feedback
AD00049,2024-11-17,IT,Italian,Search Ad,Travel,small_business,Brand Awareness,Financial Product Claim,high,Refinance your loan and lower your monthly payment,Check local rules before applying,escalated,rejected,escalated,0.832,0.411,261,False,not_submitted,BPO_E,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration
AD00050,2024-01-12,UK,English,App Install Ad,Finance,small_business,Retargeting,Brand Safety Risk,high,Consumer comparison tool for popular categories,Product information updated regularly,approved,approved,approved,0.949,0.958,255,False,not_submitted,BPO_D,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00051,2024-02-07,UK,English,Display Ad,Beauty,mid_market,Brand Awareness,Restricted Product,medium,Premium vaping accessories for adult users,Individual results may vary,approved,approved,approved,0.974,0.899,152,False,not_submitted,BPO_E,new,none,True,True,True,False,False,False,False,no_action_required
AD00052,2024-03-01,FR,French,Video Ad,Health and Wellness,small_business,Lead Generation,Brand Safety Risk,medium,Compare brand prices before you buy,Offer valid while stocks last,approved_limited,approved_limited,approved_limited,0.878,0.96,120,True,upheld,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required
AD00053,2024-07-14,BR,Portuguese,Social Feed Ad,Health and Wellness,mid_market,Sales,Safe Ad,low,New styles added daily — shop now,Age verification required,approved,approved,escalated,0.361,0.963,28,False,not_submitted,BPO_C,intermediate,over_rejection,False,True,False,True,False,True,False,route_to_human_review
AD00054,2024-01-28,IT,Italian,Search Ad,Retail,mid_market,Retargeting,Misleading Claim,medium,Double your savings with our exclusive method,Subject to regulatory approval,rejected,rejected,escalated,0.888,0.896,86,True,upheld,BPO_E,experienced,market_nuance_error,False,True,False,False,True,False,False,add_to_model_feedback
