ad_id,ad_text,landing_page_claim,market,language,industry_vertical,policy_category,risk_level,advertiser_tier,golden_label,human_label,llm_label,llm_confidence_score,error_type,appeal_submitted,appeal_result,why_it_matters,recommended_action
AD04095,Same-day alcohol delivery in select areas,Free trial followed by monthly subscription,UK,English,Food and Beverage,Restricted Product,high,mid_market,rejected,rejected,approved,0.934,high_risk_approval_miss,True,reversed,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00045,Community forum for policy discussions,Terms and conditions apply,BR,Portuguese,Mobile Apps,Political or Sensitive Content,high,mid_market,approved_limited,escalated,approved,0.891,high_risk_approval_miss,True,reversed,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD02629,Lifestyle subscription — for consenting adults only,Check local rules before applying,US,English,Mobile Apps,Adult or Suggestive Content,high,small_business,rejected,rejected,approved,0.942,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00829,Sign the petition for transparent public spending,Check local rules before applying,BR,Portuguese,E-commerce,Political or Sensitive Content,high,small_business,approved_limited,approved_limited,approved,0.92,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00590,Stop wasting money — our solution pays for itself,Product information updated regularly,FR,French,Beauty,Misleading Claim,high,enterprise,approved_limited,approved_limited,approved,0.914,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03981,Natural supplement to support your daily routine,Clinically inspired formula,FR,French,Mobile Apps,Health Claim,high,enterprise,rejected,escalated,approved,0.935,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00397,Earn passive income with our proven system,Not available in all regions,BR,Portuguese,Retail,Misleading Claim,high,small_business,rejected,rejected,approved,0.881,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD03834,Double your savings with our exclusive method,Subject to regulatory approval,DE,German,Food and Beverage,Misleading Claim,high,enterprise,rejected,escalated,approved,0.872,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD00314,Register to participate in local elections,Subject to regulatory approval,US,English,Gaming,Political or Sensitive Content,high,small_business,rejected,approved,approved,0.874,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
AD01952,Licensed lottery tickets available in your region,Offer valid while stocks last,FR,French,Finance,Restricted Product,high,strategic_account,approved_limited,approved_limited,approved,0.935,high_risk_approval_miss,False,not_submitted,High-risk ad approved by LLM despite policy violation — missed by model may reach live inventory.,Add to model training set — high-risk false approval example.
