ad_id,created_date,market,language,ad_format,industry_vertical,advertiser_tier,campaign_objective,policy_category,risk_level,ad_text,landing_page_claim,golden_label,human_label,llm_label,llm_confidence_score,human_confidence_score,review_time_seconds,appeal_submitted,appeal_result,bpo_team,reviewer_tenure,error_type,is_llm_correct,is_human_correct,is_human_ai_agreement,is_advertiser_over_rejection,is_policy_risk_miss,is_low_confidence_case,is_high_risk_approval_miss,recommended_action,llm_severity_score,golden_severity_score,human_severity_score,is_policy_ambiguous,is_appeal_reversed
AD00001,2024-05-24,BR,Portuguese,Display Ad,Beauty,enterprise,Sales,Landing Page Issue,low,Best deal online — click here to learn more,Clinically inspired formula,approved,approved,approved,0.981,0.94,38,False,not_submitted,BPO_A,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00002,2024-10-16,DE,German,Social Feed Ad,Food and Beverage,small_business,App Installs,Safe Ad,low,Summer sale now on — limited time only,Rates may vary by eligibility,approved,approved,approved,0.986,0.976,36,False,not_submitted,BPO_E,new,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00003,2024-08-07,BR,Portuguese,Shopping Ad,Finance,small_business,Brand Awareness,Misleading Claim,low,Scientifically proven to work in just one week,Results depend on individual use,approved_limited,approved_limited,approved_limited,0.942,0.953,67,False,not_submitted,BPO_C,intermediate,none,True,True,True,False,False,False,False,no_action_required,1,1,1,False,False
AD00004,2024-12-08,IT,Italian,Search Ad,Food and Beverage,enterprise,Retargeting,Health Claim,low,Plant-based ingredients for a balanced lifestyle,No purchase required,escalated,escalated,escalated,0.99,0.965,59,False,not_submitted,BPO_E,experienced,none,True,True,True,False,False,False,False,no_action_required,2,2,2,False,False
AD00005,2024-02-24,FR,French,Search Ad,Travel,mid_market,Traffic,Scam or Suspicious Offer,medium,Enter your details to unlock your mystery reward,Terms and conditions apply,rejected,approved,rejected,0.887,0.464,161,False,not_submitted,BPO_C,intermediate,none,True,False,False,False,False,False,False,flag_for_calibration,3,3,0,False,False
AD00006,2024-11-14,MX,Spanish,Video Ad,Finance,small_business,Traffic,Political or Sensitive Content,high,Support awareness for human rights education,Limited availability,approved_limited,approved_limited,approved,0.393,0.886,161,False,not_submitted,BPO_E,experienced,high_risk_approval_miss,False,True,False,False,True,True,True,escalate_to_human_review,0,1,1,False,False
AD00007,2024-07-25,BR,Portuguese,Shopping Ad,Gaming,enterprise,Retargeting,Brand Safety Risk,low,Aggregated reviews for popular consumer brands,Customer testimonials shown,rejected,rejected,rejected,0.912,0.847,62,False,not_submitted,BPO_B,experienced,none,True,True,True,False,False,False,False,no_action_required,3,3,3,False,False
AD00008,2024-10-07,BR,Portuguese,Social Feed Ad,Beauty,mid_market,App Installs,Scam or Suspicious Offer,medium,Free product trial — no card required — act fast,Subscription renews monthly,escalated,escalated,escalated,0.947,0.983,153,False,not_submitted,BPO_C,experienced,none,True,True,True,False,False,False,False,no_action_required,2,2,2,False,False
AD00009,2024-10-09,UK,English,Social Feed Ad,Food and Beverage,enterprise,Brand Awareness,Safe Ad,medium,Download our app and track your order in real time,Check local rules before applying,approved,approved,approved,0.891,0.83,57,False,not_submitted,BPO_B,intermediate,none,True,True,True,False,False,False,False,no_action_required,0,0,0,False,False
AD00010,2024-07-30,DE,German,Video Ad,E-commerce,mid_market,Lead Generation,Misleading Claim,medium,Stop wasting money — our solution pays for itself,Product information updated regularly,rejected,rejected,escalated,0.534,0.976,175,False,not_submitted,BPO_C,new,market_nuance_error,False,True,False,False,True,True,False,route_to_human_review,2,3,3,False,False
